smiles,Ki,Kd,IC50
Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3cccc(O)c3)nc21, 150,,
Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccc(O)cc3)nc21,,,
Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3cccc(CO)c3)nc21, 90,,
COc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1C, 250,,
COc1cc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc(OC)c1, 330,,
CCOC(=O)c1cccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)c1,,,
CCOC(=O)c1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1,>50000,,
CCN(CC)CCOc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1, 44,,
Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3cccc(C(=O)O)c3)nc21, 190,,
Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccc(CC(=O)O)cc3)nc21, 220,,
Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccc(CCCC(=O)O)cc3)nc21, 80,,
c1ccc(CCNc2ncnc3ccccc23)cc1, 4100,,
c1ccc(CNc2ncnc3ccccc23)cc1, 320,,
Clc1ccc(CNc2ncnc3ccccc23)cc1, 7000,,
COc1ccc(CNc2ncnc3ccccc23)cc1, 10000,,
c1ccc(Nc2ncnc3ccccc23)cc1, 344,,
CN(c1ccccc1)c1ncnc2ccccc12, 100000,,
COc1cccc(Nc2ncnc3ccccc23)c1, 842,,
Cc1cccc(Nc2ncnc3ccccc23)c1, 910,,
Clc1cccc(Nc2ncnc3ccccc23)c1, 23,,
Brc1cccc(Nc2ncnc3ccccc23)c1, 27,,
Ic1cccc(Nc2ncnc3ccccc23)c1, 80,,
FC(F)(F)c1cccc(Nc2ncnc3ccccc23)c1, 577,,
c1cncc(Nc2ncnc3ccccc23)c1,>1000,,
Brc1cccc(Oc2ncnc3ccccc23)c1, 756,,
Brc1cccc(Nc2ccnc3ccccc23)c1, 5500,,
Brc1cccc(Nc2nccc3ccccc23)c1,>100000,,
Brc1cccc(Nc2cnnc3ccccc23)c1,>10000,,
Brc1cccc(Nc2nncc3ccccc23)c1,>100000,,
Brc1cccc(Nc2cnc3ccccc3n2)c1,>100000,,
Brc1cccc(Nc2nnnc3ccccc23)c1,>1000,,
O=[N+]([O-])c1cccc2ncnc(NCc3ccccc3)c12, 8000,,
Nc1cccc2ncnc(NCc3ccccc3)c12,>10000,,
COc1cccc2ncnc(NCc3ccccc3)c12, 4900,,
O=[N+]([O-])c1ccc2ncnc(NCc3ccccc3)c2c1,>10000,,
Nc1ccc2ncnc(NCc3ccccc3)c2c1, 1400,,
COc1ccc2ncnc(NCc3ccccc3)c2c1, 200,,
O=[N+]([O-])c1ccc2c(NCc3ccccc3)ncnc2c1, 5900,,
Nc1ccc2c(NCc3ccccc3)ncnc2c1,>1000,,
COc1ccc2c(NCc3ccccc3)ncnc2c1, 58,,
O=[N+]([O-])c1cccc2c(NCc3ccccc3)ncnc12,>10000,,
Nc1cccc2c(NCc3ccccc3)ncnc12,>10000,,
COc1cccc2c(NCc3ccccc3)ncnc12,>10000,,
COc1cc2c(NCc3ccccc3)ncnc2cc1O, 588,,
COc1cc2ncnc(NCc3ccccc3)c2cc1O, 56,,
COc1cc2ncnc(NCc3ccccc3)c2cc1OC, 10,,
O=[N+]([O-])c1cccc2ncnc(Nc3cccc(Br)c3)c12, 355,,
Nc1cccc2ncnc(Nc3cccc(Br)c3)c12, 439,,
COc1cccc2ncnc(Nc3cccc(Br)c3)c12, 139,,
O=[N+]([O-])c1ccc2ncnc(Nc3cccc(Br)c3)c2c1, 897,,
Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1, 0.79,,
COc1ccc2ncnc(Nc3cccc(Br)c3)c2c1, 348,,
O=[N+]([O-])c1ccc2c(Nc3cccc(Br)c3)ncnc2c1, 1000,,
Nc1ccc2c(Nc3cccc(Br)c3)ncnc2c1, 0.1,,
COc1ccc2c(Nc3cccc(Br)c3)ncnc2c1, 10,,
O=[N+]([O-])c1cccc2c(Nc3cccc(Br)c3)ncnc12,>10000,,
Nc1cccc2c(Nc3cccc(Br)c3)ncnc12, 105,,
COc1cccc2c(Nc3cccc(Br)c3)ncnc12, 974,,
Oc1cc2ncnc(Nc3cccc(Br)c3)c2cc1O, 0.17,,
Nc1cc2ncnc(Nc3cccc(Br)c3)c2cc1N, 0.12,,
Nc1cc2ncnc(Nc3ccccc3)c2cn1, 250,,
Nc1cc2ncnc(Nc3ccccc3[N+](=O)[O-])c2cn1, 1250,,
Nc1cc2ncnc(Nc3cccc([N+](=O)[O-])c3)c2cn1, 40,,
Nc1cc2ncnc(Nc3ccc([N+](=O)[O-])cc3)c2cn1, 65000,,
Nc1cc2ncnc(Nc3ccccc3Br)c2cn1, 240,,
Nc1cc2ncnc(Nc3cccc(Br)c3)c2cn1, 10,,
Nc1cc2ncnc(Nc3ccc(Br)cc3)c2cn1, 90,,
Nc1cc2ncnc(Nc3ccccc3C(F)(F)F)c2cn1, 10000,,
Nc1cc2ncnc(Nc3cccc(C(F)(F)F)c3)c2cn1, 15,,
Nc1cc2ncnc(Nc3ccc(C(F)(F)F)cc3)c2cn1, 4700,,
COc1ccccc1Nc1ncnc2cc(N)ncc12, 3710,,
COc1cccc(Nc2ncnc3cc(N)ncc23)c1, 130,,
COc1ccc(Nc2ncnc3cc(N)ncc23)cc1, 670,,
Nc1cc2ncnc(Nc3ccccc3N)c2cn1, 5250,,
Nc1cccc(Nc2ncnc3cc(N)ncc23)c1, 1550,,
Nc1ccc(Nc2ncnc3cc(N)ncc23)cc1, 5900,,
CN(C)c1ccccc1Nc1ncnc2cc(N)ncc12, 69000,,
CN(C)c1cccc(Nc2ncnc3cc(N)ncc23)c1, 1790,,
CN(C)c1ccc(Nc2ncnc3cc(N)ncc23)cc1, 4860,,
Nc1cc2ncnc(Nc3cccc(F)c3)c2cn1, 840,,
Nc1cc2ncnc(Nc3cccc(Cl)c3)c2cn1, 120,,
Nc1cc2ncnc(Nc3cccc(I)c3)c2cn1, 260,,
Nc1cc2ncnc(Nc3cccc(O)c3)c2cn1, 70,,
Cc1cccc(Nc2ncnc3cc(N)ncc23)c1, 40,,
Nc1cc2ncnc(Nc3cccnc3)c2cn1,>10000,,
CC(=O)Nc1cccc(Nc2ncnc3cc(N)ncc23)c1,>10000,,
CC(=O)Nc1ccc(Nc2ncnc3cc(N)ncc23)cc1,>10000,,
Nc1cc2ncnc(NCc3ccccc3)c2cn1, 580,,
Nc1cc2ncnc(NCc3ccccc3[N+](=O)[O-])c2cn1, 4250,,
Nc1cc2ncnc(NCc3cccc([N+](=O)[O-])c3)c2cn1, 10100,,
Nc1cc2ncnc(NCc3ccc([N+](=O)[O-])cc3)c2cn1,>10000,,
Nc1cc2ncnc(NCc3ccccc3Br)c2cn1, 1670,,
Nc1cc2ncnc(NCc3cccc(Br)c3)c2cn1, 1000,,
Nc1cc2ncnc(NCc3ccc(Br)cc3)c2cn1, 2460,,
Nc1cc2ncnc(NCc3ccccc3C(F)(F)F)c2cn1, 10000,,
Nc1cc2ncnc(NCc3cccc(C(F)(F)F)c3)c2cn1, 1950,,
Nc1cc2ncnc(NCc3ccc(C(F)(F)F)cc3)c2cn1, 8000,,
COc1ccccc1CNc1ncnc2cc(N)ncc12, 100000,,
COc1cccc(CNc2ncnc3cc(N)ncc23)c1, 2870,,
COc1ccc(CNc2ncnc3cc(N)ncc23)cc1,>100000,,
Nc1cc2ncnc(NCc3ccccc3N)c2cn1, 230,,
Nc1cccc(CNc2ncnc3cc(N)ncc23)c1,>10000,,
Nc1ccc(CNc2ncnc3cc(N)ncc23)cc1,>10000,,
CN(C)c1ccccc1CNc1ncnc2cc(N)ncc12,>100000,,
CN(C)c1cccc(CNc2ncnc3cc(N)ncc23)c1, 10000,,
CN(C)c1ccc(CNc2ncnc3cc(N)ncc23)cc1,>100000,,
CNC(=O)c1c(SSc2c(C(=O)NC)c3ccccc3n2C)n(C)c2ccccc12, 6900,,
NC(Cc1c(SSc2[nH]c3ccccc3c2CC(N)C(=O)NCc2ccccc2)[nH]c2ccccc12)C(=O)NCc1ccccc1, 7400,,
Cn1c([Se][Se]c2c(C(=O)OC(C)(C)C)c3ccccc3n2C)c(C(=O)OC(C)(C)C)c2ccccc21,>100000,,
Cn1c([Se][Se]c2c(C(=O)O)c3ccccc3n2C)c(C(=O)O)c2ccccc21, 3500,,
CNC(=O)c1c([Se][Se]c2c(C(=O)NC)c3ccccc3n2C)n(C)c2ccccc12, 6100,,
CCN(CC)CCNC(=O)c1c([Se][Se]c2c(C(=O)NCCN(CC)CC)c3ccccc3n2C)n(C)c2ccccc12, 4700,,
CNC(=O)c1c([Se][Se]c2[nH]c3ccccc3c2C(=O)NC)[nH]c2ccccc12, 13000,,
CCN(CC)CCNC(=O)c1c([Se][Se]c2[nH]c3ccccc3c2C(=O)NCCN(CC)CC)[nH]c2ccccc12, 4600,,
CCN(CC)CCn1c([Se][Se]c2c(C(=O)NC)c3ccccc3n2CCN(CC)CC)c(C(=O)NC)c2ccccc21, 6900,,
O=C(NCc1ccccc1)[C@@H](Cc1c([Se]c2[nH]c3ccccc3c2C[C@@H](NC(=O)C(F)(F)F)C(=O)NCc2ccccc2)[nH]c2ccccc12)NC(=O)C(F)(F)F,>50000,,
O=C(NCc1ccccc1)[C@@H](Cc1c([Se][Se]c2[nH]c3ccccc3c2C[C@@H](NC(=O)C(F)(F)F)C(=O)NCc2ccccc2)[nH]c2ccccc12)NC(=O)C(F)(F)F, 7000,,
N[C@H](Cc1c([Se][Se]c2[nH]c3ccccc3c2C[C@@H](N)C(=O)NCc2ccccc2)[nH]c2ccccc12)C(=O)NCc1ccccc1, 900,,
N[C@@H](Cc1c([Se][Se]c2[nH]c3ccccc3c2C[C@H](N)C(=O)NCc2ccccc2)[nH]c2ccccc12)C(=O)NCc1ccccc1, 1300,,
c1ccc(Nc2ncnc3ccccc23)cc1, 344,,
Fc1cccc(Nc2ncnc3ccccc23)c1, 56,,
Clc1cccc(Nc2ncnc3ccccc23)c1, 23,,
Brc1cccc(Nc2ncnc3ccccc23)c1, 27,,
Ic1cccc(Nc2ncnc3ccccc23)c1, 80,,
FC(F)(F)c1cccc(Nc2ncnc3ccccc23)c1, 577,,
COc1ccc2ncnc(Nc3ccccc3)c2c1, 55,,
COc1ccc2ncnc(Nc3cccc(Br)c3)c2c1, 30,,
Nc1ccc2ncnc(Nc3ccccc3)c2c1, 770,,
Nc1ccc2ncnc(Nc3cccc(C(F)(F)F)c3)c2c1, 574,,
Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1, 0.78,,
O=[N+]([O-])c1ccc2ncnc(Nc3ccccc3)c2c1, 5000,,
O=[N+]([O-])c1ccc2ncnc(Nc3cccc(Br)c3)c2c1, 900,,
O=[N+]([O-])c1ccc2ncnc(Nc3cccc(C(F)(F)F)c3)c2c1,>10000,,
COc1ccc2c(Nc3ccccc3)ncnc2c1, 120,,
COc1ccc2c(Nc3cccc(Br)c3)ncnc2c1, 10,,
Nc1ccc2c(Nc3ccccc3)ncnc2c1, 100,,
